group_code,group_label,index,doy_bin_label,doy_bin_center,n_dates,support_pixels_total,env_q_low,env_q_med,env_q_high,curve_min,curve_med,curve_max,median_of_date_q10,median_of_date_q90,min_of_date_min,max_of_date_max
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,001-030,16,4,34941,0.7615315914154053,0.7798486649990082,0.7870909690856933,0.7555593848228455,0.7798486649990082,0.7883168458938599,0.675616592168808,0.844261109828949,0.027300748974084854,0.9234462380409241
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,031-060,46,3,30380,0.6336664199829102,0.7693214416503906,0.8035707473754883,0.59975266456604,0.7693214416503906,0.8121330738067627,0.6692746877670288,0.819804310798645,-0.18688525259494781,0.9090749621391296
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,061-090,76,2,26741,0.4811689078807831,0.5097070634365082,0.5382452189922333,0.4740343689918518,0.5097070634365082,0.5453797578811646,0.27697794139385223,0.6489647328853607,-0.17112265527248383,0.768683671951294
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,091-120,106,2,27470,0.4362468272447586,0.4611683040857315,0.4860897809267044,0.4300164580345154,0.4611683040857315,0.49232015013694763,0.22063375264406204,0.6063706278800964,-0.09658806025981903,0.7247183322906494
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,121-150,136,5,67312,0.3710136413574219,0.4256410300731659,0.5387906193733215,0.3710136413574219,0.4256410300731659,0.5915223360061646,0.23509368300437927,0.5668899416923523,-0.17773625254631042,0.7266099452972412
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,151-180,166,1,13912,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.5811604261398315,0.7043198347091675,0.07389256358146667,0.7690694332122803
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,181-210,196,7,89757,0.6106009602546691,0.6477416753768921,0.6622556567192077,0.5822960734367371,0.6477416753768921,0.6721988916397095,0.5703412890434265,0.692307710647583,-0.31887519359588623,0.7785286903381348
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,211-240,226,9,125208,0.6491405010223389,0.6719315052032471,0.676587986946106,0.6441600322723389,0.6719315052032471,0.679871678352356,0.5920031070709229,0.7155683636665344,-0.035028696060180664,0.8057395219802856
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,241-270,256,2,27824,0.6267027974128723,0.6438217759132385,0.6609407544136048,0.6224230527877808,0.6438217759132385,0.6652204990386963,0.5584370493888855,0.6978013217449188,0.027906976640224457,0.7926566004753113
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,271-300,286,10,138247,0.506111791729927,0.6541179716587067,0.6769124150276185,0.4412805736064911,0.6541179716587067,0.6929175853729248,0.5368150174617767,0.7212002575397491,-0.3418024182319641,0.820891797542572
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,301-330,316,7,89049,0.48656773567199707,0.5581702589988708,0.6029452443122864,0.4824492931365967,0.5581702589988708,0.6447780132293701,0.3254685699939728,0.6727234125137329,-0.35742971301078796,0.8391364812850952
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,331-360,346,2,20558,0.5736620843410491,0.5807208716869354,0.5877796590328217,0.5718973875045776,0.5807208716869354,0.5895443558692932,0.3432035744190216,0.70948126912117,-0.29217246174812317,0.8594594597816467
