zip_file,date,year,month,day,doy,doy_bin_label,doy_bin_center,group_id,group_code,group_label,index,n_valid_pixels,date_min,date_q10,date_median,date_q90,date_max,date_mean
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDMI,33752,-0.4942891001701355,0.3067518174648285,0.39698490500450134,0.4657043516635895,0.5655569434165955,0.3902277648448944
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NBR,33752,-0.3124498128890991,0.619271993637085,0.6869412660598755,0.7325735688209534,0.7921000123023987,0.6794729232788086
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDRE,33752,0.3120221793651581,0.5880982279777527,0.6605842709541321,0.7052484154701233,0.7719535827636719,0.651215672492981
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDVI,11265,0.47030019760131836,0.8156234622001648,0.8838450908660889,0.9085299968719482,0.9280977845191956,0.8703478574752808
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDMI,11265,-0.07969440519809723,0.300397664308548,0.3813799321651459,0.4464004337787628,0.5604256987571716,0.3761071562767029
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NBR,11265,0.18192557990550995,0.6151857376098633,0.6764501333236694,0.719502329826355,0.7800011038780212,0.6698663234710693
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDRE,11265,0.35119447112083435,0.5853948593139648,0.6553030014038086,0.7029955983161926,0.7463627457618713,0.6482085585594177
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,8,MO_PURE,Pure spruce,NDVI,20710,0.2880397439002991,0.7578908801078796,0.8405311703681946,0.8922131061553955,0.9305349588394165,0.8291758894920349
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,8,MO_PURE,Pure spruce,NDMI,20710,-0.1589343100786209,0.23983550071716309,0.3788831830024719,0.45782557129859924,0.5536037087440491,0.3609170615673065
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,8,MO_PURE,Pure spruce,NBR,20710,-0.04675135388970375,0.5343681573867798,0.6665907502174377,0.7268462777137756,0.7892976403236389,0.6453490853309631
SdV_2017-07-31_no_clouds.zip,2017-07-31,2017,7,31,212,211-240,226,8,MO_PURE,Pure spruce,NDRE,20710,0.2458963245153427,0.5208830833435059,0.6082895398139954,0.6839414238929749,0.75681072473526,0.6047160029411316
