group_code,group_label,index,doy_bin_label,doy_bin_center,n_dates,support_pixels_total,env_q_low,env_q_med,env_q_high,curve_min,curve_med,curve_max,median_of_date_q10,median_of_date_q90,min_of_date_min,max_of_date_max
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,061-090,76,1,13642,0.4740343689918518,0.4740343689918518,0.4740343689918518,0.4740343689918518,0.4740343689918518,0.4740343689918518,0.2407422959804535,0.638733983039856,-0.17112265527248383,0.7586622834205627
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,091-120,106,1,13874,0.4300164580345154,0.4300164580345154,0.4300164580345154,0.4300164580345154,0.4300164580345154,0.4300164580345154,0.18465997278690338,0.5849223136901855,-0.09086669981479645,0.6932592988014221
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,121-150,136,5,67312,0.3710136413574219,0.4256410300731659,0.5387906193733215,0.3710136413574219,0.4256410300731659,0.5915223360061646,0.23509368300437927,0.5668899416923523,-0.17773625254631042,0.7266099452972412
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,151-180,166,1,13912,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.6615749001502991,0.5811604261398315,0.7043198347091675,0.07389256358146667,0.7690694332122803
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,181-210,196,6,83472,0.6361640095710754,0.6507557928562164,0.6639128625392914,0.6294708847999573,0.6507557928562164,0.6721988916397095,0.5749897062778473,0.6953831017017365,-0.010834302753210068,0.7785286903381348
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,211-240,226,9,125208,0.6491405010223389,0.6719315052032471,0.676587986946106,0.6441600322723389,0.6719315052032471,0.679871678352356,0.5920031070709229,0.7155683636665344,-0.035028696060180664,0.8057395219802856
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,241-270,256,2,27824,0.6267027974128723,0.6438217759132385,0.6609407544136048,0.6224230527877808,0.6438217759132385,0.6652204990386963,0.5584370493888855,0.6978013217449188,0.027906976640224457,0.7926566004753113
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,271-300,286,10,138247,0.506111791729927,0.6541179716587067,0.6769124150276185,0.4412805736064911,0.6541179716587067,0.6929175853729248,0.5368150174617767,0.7212002575397491,-0.3418024182319641,0.820891797542572
BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,301-330,316,6,77932,0.48588132858276367,0.5284553468227386,0.5682735741138458,0.4824492931365967,0.5284553468227386,0.5750567317008972,0.3050464689731598,0.6673312783241272,-0.35742971301078796,0.8116058707237244
BR_OTHER_MIX,Fir/other or strongly mixed stand,NDMI,061-090,76,1,13642,0.24463210999965668,0.24463210999965668,0.24463210999965668,0.24463210999965668,0.24463210999965668,0.24463210999965668,0.031402233988046646,0.413848340511322,-0.31755849719047546,0.5605649948120117
